combination,frequency,percentage
brevity_style|conflict_approach|emotional_expression|opinion_expression|reaction_patterns,20,0.4
conflict_approach|language_formality|message_effectiveness|reaction_patterns|vocabulary_range,20,0.4
brevity_style|cognitive_patterns|community_role|general_decription|social_orientation,20,0.4
cognitive_patterns|language_formality|punctuation_style|reaction_patterns|vocabulary_range,20,0.4
cognitive_patterns|content_triggers|emotional_expression|identity_projection|reaction_patterns,10,0.2
brevity_style|cognitive_patterns|emotional_expression|language_formality|reaction_patterns,10,0.2
community_role|content_triggers|language_formality|message_effectiveness|value_signals,10,0.2
authenticity_markers|controversy_handling|emotional_expression|language_formality|value_signals,10,0.2
adaptability_signs|belief_expression|controversy_handling|language_formality|punctuation_style,10,0.2
community_role|language_formality|opinion_expression|reaction_patterns|vocabulary_range,10,0.2
adaptability_signs|general_decription|message_effectiveness|social_orientation|value_signals,10,0.2
adaptability_signs|authenticity_markers|brevity_style|controversy_handling|message_effectiveness,10,0.2
community_role|conflict_approach|content_triggers|controversy_handling|social_orientation,10,0.2
belief_expression|emotional_expression|message_effectiveness|narrative_voice|value_signals,10,0.2
brevity_style|general_decription|message_effectiveness|reaction_patterns|value_signals,10,0.2
adaptability_signs|community_role|language_formality|narrative_voice|reaction_patterns,10,0.2
authenticity_markers|belief_expression|cognitive_patterns|punctuation_style|value_signals,10,0.2
authenticity_markers|brevity_style|controversy_handling|message_effectiveness|punctuation_style,10,0.2
adaptability_signs|general_decription|narrative_voice|opinion_expression|punctuation_style,10,0.2
adaptability_signs|authenticity_markers|controversy_handling|identity_projection|punctuation_style,10,0.2
adaptability_signs|identity_projection|reaction_patterns|social_orientation|vocabulary_range,10,0.2
belief_expression|controversy_handling|emotional_expression|general_decription|identity_projection,10,0.2
brevity_style|content_triggers|punctuation_style|stress_indicators|value_signals,10,0.2
authenticity_markers|brevity_style|controversy_handling|language_formality|punctuation_style,10,0.2
adaptability_signs|belief_expression|emotional_expression|general_decription|language_formality,10,0.2
belief_expression|controversy_handling|identity_projection|message_effectiveness|stress_indicators,10,0.2
brevity_style|emotional_expression|general_decription|narrative_voice|punctuation_style,10,0.2
belief_expression|cognitive_patterns|general_decription|opinion_expression|punctuation_style,10,0.2
belief_expression|cognitive_patterns|general_decription|punctuation_style|stress_indicators,10,0.2
controversy_handling|emotional_expression|general_decription|narrative_voice|punctuation_style,10,0.2
authenticity_markers|controversy_handling|identity_projection|opinion_expression|value_signals,10,0.2
belief_expression|brevity_style|emotional_expression|language_formality|stress_indicators,10,0.2
brevity_style|conflict_approach|controversy_handling|identity_projection|reaction_patterns,10,0.2
brevity_style|cognitive_patterns|reaction_patterns|social_orientation|vocabulary_range,10,0.2
brevity_style|conflict_approach|controversy_handling|social_orientation|stress_indicators,10,0.2
belief_expression|conflict_approach|content_triggers|language_formality|value_signals,10,0.2
authenticity_markers|brevity_style|community_role|controversy_handling|language_formality,10,0.2
adaptability_signs|community_role|conflict_approach|identity_projection|punctuation_style,10,0.2
cognitive_patterns|community_role|conflict_approach|emotional_expression|stress_indicators,10,0.2
general_decription|identity_projection|opinion_expression|social_orientation|vocabulary_range,10,0.2
authenticity_markers|community_role|general_decription|opinion_expression|vocabulary_range,10,0.2
brevity_style|content_triggers|emotional_expression|general_decription|value_signals,10,0.2
content_triggers|controversy_handling|stress_indicators|value_signals|vocabulary_range,10,0.2
conflict_approach|language_formality|message_effectiveness|punctuation_style|stress_indicators,10,0.2
community_role|conflict_approach|language_formality|reaction_patterns|stress_indicators,10,0.2
adaptability_signs|community_role|conflict_approach|language_formality|narrative_voice,10,0.2
community_role|content_triggers|general_decription|message_effectiveness|opinion_expression,10,0.2
authenticity_markers|controversy_handling|language_formality|narrative_voice|punctuation_style,10,0.2
authenticity_markers|belief_expression|language_formality|message_effectiveness|reaction_patterns,10,0.2
adaptability_signs|brevity_style|community_role|narrative_voice|reaction_patterns,10,0.2
cognitive_patterns|community_role|general_decription|message_effectiveness|narrative_voice,10,0.2
brevity_style|controversy_handling|language_formality|punctuation_style|value_signals,10,0.2
brevity_style|cognitive_patterns|conflict_approach|message_effectiveness|value_signals,10,0.2
conflict_approach|general_decription|identity_projection|social_orientation|stress_indicators,10,0.2
adaptability_signs|belief_expression|cognitive_patterns|emotional_expression|opinion_expression,10,0.2
authenticity_markers|community_role|identity_projection|message_effectiveness|opinion_expression,10,0.2
conflict_approach|identity_projection|reaction_patterns|stress_indicators|value_signals,10,0.2
authenticity_markers|brevity_style|identity_projection|message_effectiveness|stress_indicators,10,0.2
authenticity_markers|content_triggers|emotional_expression|opinion_expression|reaction_patterns,10,0.2
emotional_expression|language_formality|narrative_voice|opinion_expression|value_signals,10,0.2
belief_expression|controversy_handling|general_decription|narrative_voice|punctuation_style,10,0.2
belief_expression|controversy_handling|message_effectiveness|narrative_voice|opinion_expression,10,0.2
brevity_style|community_role|general_decription|reaction_patterns|value_signals,10,0.2
belief_expression|cognitive_patterns|general_decription|language_formality|social_orientation,10,0.2
adaptability_signs|belief_expression|conflict_approach|controversy_handling|message_effectiveness,10,0.2
adaptability_signs|cognitive_patterns|conflict_approach|language_formality|message_effectiveness,10,0.2
community_role|conflict_approach|controversy_handling|general_decription|identity_projection,10,0.2
cognitive_patterns|content_triggers|identity_projection|reaction_patterns|vocabulary_range,10,0.2
belief_expression|community_role|content_triggers|reaction_patterns|value_signals,10,0.2
community_role|conflict_approach|general_decription|identity_projection|social_orientation,10,0.2
belief_expression|conflict_approach|punctuation_style|social_orientation|value_signals,10,0.2
adaptability_signs|authenticity_markers|belief_expression|opinion_expression|social_orientation,10,0.2
community_role|general_decription|language_formality|reaction_patterns|social_orientation,10,0.2
conflict_approach|content_triggers|reaction_patterns|social_orientation|value_signals,10,0.2
belief_expression|cognitive_patterns|message_effectiveness|social_orientation|vocabulary_range,10,0.2
brevity_style|cognitive_patterns|language_formality|narrative_voice|value_signals,10,0.2
adaptability_signs|cognitive_patterns|community_role|identity_projection|opinion_expression,10,0.2
authenticity_markers|language_formality|message_effectiveness|narrative_voice|reaction_patterns,10,0.2
emotional_expression|opinion_expression|punctuation_style|stress_indicators|vocabulary_range,10,0.2
brevity_style|message_effectiveness|narrative_voice|social_orientation|stress_indicators,10,0.2
adaptability_signs|belief_expression|controversy_handling|identity_projection|narrative_voice,10,0.2
general_decription|language_formality|opinion_expression|punctuation_style|stress_indicators,10,0.2
narrative_voice|punctuation_style|reaction_patterns|social_orientation|stress_indicators,10,0.2
adaptability_signs|conflict_approach|controversy_handling|identity_projection|language_formality,10,0.2
authenticity_markers|conflict_approach|identity_projection|opinion_expression|stress_indicators,10,0.2
adaptability_signs|content_triggers|controversy_handling|general_decription|social_orientation,10,0.2
cognitive_patterns|community_role|conflict_approach|emotional_expression|reaction_patterns,10,0.2
belief_expression|brevity_style|opinion_expression|reaction_patterns|social_orientation,10,0.2
emotional_expression|language_formality|opinion_expression|punctuation_style|social_orientation,10,0.2
community_role|general_decription|identity_projection|social_orientation|stress_indicators,10,0.2
cognitive_patterns|general_decription|narrative_voice|social_orientation|vocabulary_range,10,0.2
cognitive_patterns|content_triggers|controversy_handling|identity_projection|reaction_patterns,10,0.2
brevity_style|cognitive_patterns|conflict_approach|narrative_voice|value_signals,10,0.2
controversy_handling|emotional_expression|social_orientation|value_signals|vocabulary_range,10,0.2
conflict_approach|emotional_expression|general_decription|reaction_patterns|vocabulary_range,10,0.2
adaptability_signs|brevity_style|content_triggers|language_formality|stress_indicators,10,0.2
brevity_style|cognitive_patterns|message_effectiveness|narrative_voice|value_signals,10,0.2
authenticity_markers|belief_expression|cognitive_patterns|message_effectiveness|value_signals,10,0.2
authenticity_markers|belief_expression|narrative_voice|value_signals|vocabulary_range,10,0.2
belief_expression|cognitive_patterns|community_role|language_formality|punctuation_style,10,0.2
adaptability_signs|conflict_approach|emotional_expression|general_decription|message_effectiveness,10,0.2
brevity_style|community_role|punctuation_style|social_orientation|value_signals,10,0.2
authenticity_markers|cognitive_patterns|controversy_handling|message_effectiveness|value_signals,10,0.2
authenticity_markers|controversy_handling|general_decription|language_formality|narrative_voice,10,0.2
brevity_style|conflict_approach|controversy_handling|social_orientation|vocabulary_range,10,0.2
brevity_style|emotional_expression|identity_projection|reaction_patterns|value_signals,10,0.2
community_role|conflict_approach|message_effectiveness|narrative_voice|vocabulary_range,10,0.2
