Dimension,Rouge1 (Present),Rouge1 (Absent),Rouge1 (Diff),Rouge2 (Present),Rouge2 (Absent),Rouge2 (Diff),Rougel (Present),Rougel (Absent),Rougel (Diff),Similarity Scores (Present),Similarity Scores (Absent),Similarity Scores (Diff),Authenticity (Present),Authenticity (Absent),Authenticity (Diff),Style Consistency (Present),Style Consistency (Absent),Style Consistency (Diff),Matching Intent (Present),Matching Intent (Absent),Matching Intent (Diff)
stress_indicators,0.315,0.314,0.001,0.119,0.121,-0.002,0.244,0.244,0.001,0.783,0.781,0.002,5.91,6.07,-0.15,6.80,6.85,-0.05,78.0%,78.9%,-0.9%
conflict_approach,0.298,0.319,-0.021,0.110,0.124,-0.014,0.231,0.247,-0.016,0.779,0.782,-0.003,6.05,6.03,0.02,6.90,6.82,0.08,78.4%,78.8%,-0.4%
brevity_style,0.316,0.314,0.002,0.111,0.124,-0.012,0.239,0.245,-0.006,0.785,0.780,0.005,6.20,5.97,0.23,7.03,6.77,0.26,82.9%,77.2%,5.7%
language_formality,0.315,0.314,0.001,0.120,0.121,-0.001,0.245,0.243,0.002,0.780,0.782,-0.002,5.92,6.07,-0.15,6.74,6.87,-0.13,76.3%,79.6%,-3.2%
vocabulary_range,0.344,0.307,0.038,0.147,0.114,0.033,0.267,0.238,0.029,0.783,0.781,0.002,6.09,6.02,0.07,6.94,6.81,0.13,79.1%,78.6%,0.5%
identity_projection,0.309,0.316,-0.007,0.109,0.124,-0.014,0.237,0.245,-0.008,0.778,0.782,-0.004,6.17,5.99,0.18,6.85,6.83,0.02,78.7%,78.7%,0.0%
content_triggers,0.325,0.312,0.013,0.133,0.118,0.015,0.252,0.242,0.011,0.780,0.782,-0.002,5.84,6.07,-0.23,6.64,6.88,-0.24,75.0%,79.6%,-4.6%
value_signals,0.302,0.318,-0.017,0.119,0.121,-0.002,0.240,0.245,-0.005,0.773,0.784,-0.012,5.72,6.13,-0.41,6.61,6.91,-0.30,77.6%,79.0%,-1.4%
cognitive_patterns,0.311,0.315,-0.004,0.119,0.121,-0.002,0.239,0.246,-0.007,0.775,0.784,-0.008,5.87,6.09,-0.22,6.73,6.88,-0.14,76.1%,79.6%,-3.5%
emotional_expression,0.307,0.316,-0.010,0.117,0.121,-0.005,0.233,0.246,-0.013,0.779,0.782,-0.003,6.05,6.02,0.03,6.88,6.83,0.06,77.7%,78.9%,-1.2%
controversy_handling,0.304,0.318,-0.014,0.115,0.122,-0.007,0.235,0.247,-0.012,0.777,0.783,-0.006,6.02,6.03,-0.01,6.76,6.86,-0.10,78.2%,78.9%,-0.6%
adaptability_signs,0.312,0.315,-0.003,0.115,0.122,-0.007,0.242,0.244,-0.002,0.777,0.783,-0.006,5.89,6.07,-0.18,6.73,6.87,-0.14,76.2%,79.4%,-3.2%
authenticity_markers,0.312,0.315,-0.003,0.118,0.121,-0.003,0.241,0.244,-0.003,0.783,0.781,0.002,6.23,5.97,0.26,6.90,6.82,0.09,79.1%,78.6%,0.6%
message_effectiveness,0.313,0.315,-0.001,0.119,0.121,-0.002,0.245,0.243,0.002,0.785,0.780,0.005,5.82,6.10,-0.28,6.66,6.89,-0.24,75.6%,79.7%,-4.0%
punctuation_style,0.322,0.312,0.010,0.134,0.117,0.018,0.255,0.241,0.014,0.789,0.780,0.009,6.08,6.02,0.06,6.83,6.84,-0.01,80.7%,78.1%,2.6%
belief_expression,0.322,0.312,0.009,0.123,0.120,0.004,0.253,0.241,0.012,0.791,0.779,0.012,6.34,5.95,0.39,6.97,6.80,0.17,85.8%,76.9%,8.9%
reaction_patterns,0.319,0.313,0.006,0.120,0.121,-0.000,0.250,0.242,0.009,0.784,0.781,0.004,6.20,5.98,0.22,6.97,6.80,0.17,82.4%,77.6%,4.8%
narrative_voice,0.327,0.311,0.016,0.133,0.117,0.016,0.250,0.242,0.009,0.783,0.781,0.002,6.18,5.99,0.20,6.94,6.81,0.13,81.5%,77.9%,3.6%
social_orientation,0.330,0.310,0.020,0.132,0.117,0.015,0.260,0.239,0.021,0.787,0.780,0.007,6.03,6.03,-0.00,6.89,6.82,0.07,77.7%,79.0%,-1.2%
general_decription,0.311,0.315,-0.004,0.121,0.120,0.000,0.236,0.246,-0.010,0.781,0.782,-0.001,6.02,6.03,-0.01,6.89,6.82,0.07,78.5%,78.8%,-0.2%
community_role,0.301,0.318,-0.016,0.107,0.124,-0.017,0.233,0.247,-0.013,0.781,0.782,-0.000,6.05,6.03,0.02,6.92,6.81,0.10,80.3%,78.3%,2.0%
opinion_expression,0.308,0.316,-0.008,0.115,0.122,-0.007,0.236,0.246,-0.009,0.782,0.782,0.000,6.07,6.02,0.05,6.87,6.83,0.04,75.9%,79.5%,-3.6%
