Dimension,Rouge1 (Present),Rouge1 (Absent),Rouge1 (Diff),Rouge2 (Present),Rouge2 (Absent),Rouge2 (Diff),Rougel (Present),Rougel (Absent),Rougel (Diff),Similarity Scores (Present),Similarity Scores (Absent),Similarity Scores (Diff),Authenticity (Present),Authenticity (Absent),Authenticity (Diff),Style Consistency (Present),Style Consistency (Absent),Style Consistency (Diff),Matching Intent (Present),Matching Intent (Absent),Matching Intent (Diff)
stress_indicators,0.209,0.211,-0.002,0.055,0.056,-0.002,0.149,0.151,-0.002,0.766,0.766,-0.000,6.45,6.57,-0.12,6.35,6.50,-0.16,38.0%,40.4%,-2.4%
conflict_approach,0.209,0.211,-0.002,0.056,0.056,-0.001,0.150,0.151,-0.002,0.765,0.767,-0.002,6.55,6.54,0.01,6.43,6.48,-0.05,38.5%,40.3%,-1.8%
brevity_style,0.218,0.209,0.009,0.059,0.055,0.004,0.162,0.148,0.014,0.768,0.766,0.002,6.41,6.58,-0.16,6.43,6.48,-0.05,37.6%,40.5%,-2.9%
language_formality,0.214,0.210,0.004,0.057,0.056,0.001,0.153,0.150,0.003,0.771,0.765,0.006,6.54,6.54,0.00,6.68,6.41,0.28,42.4%,39.1%,3.3%
vocabulary_range,0.208,0.212,-0.003,0.056,0.056,-0.000,0.148,0.152,-0.004,0.765,0.767,-0.002,6.52,6.55,-0.03,6.59,6.43,0.16,39.3%,40.0%,-0.7%
identity_projection,0.208,0.212,-0.003,0.055,0.057,-0.002,0.150,0.151,-0.002,0.763,0.767,-0.004,6.57,6.53,0.04,6.43,6.48,-0.05,39.9%,39.8%,0.1%
content_triggers,0.212,0.211,0.002,0.057,0.056,0.001,0.153,0.150,0.002,0.766,0.766,-0.000,6.46,6.56,-0.10,6.32,6.51,-0.19,37.9%,40.4%,-2.5%
value_signals,0.206,0.212,-0.006,0.054,0.057,-0.002,0.147,0.152,-0.005,0.765,0.767,-0.001,6.52,6.55,-0.02,6.36,6.50,-0.15,38.1%,40.4%,-2.3%
emotional_expression,0.211,0.211,0.000,0.054,0.057,-0.003,0.150,0.151,-0.002,0.767,0.766,0.001,6.61,6.52,0.09,6.48,6.47,0.01,39.6%,39.9%,-0.3%
cognitive_patterns,0.209,0.212,-0.002,0.054,0.057,-0.002,0.149,0.151,-0.003,0.767,0.766,0.000,6.49,6.56,-0.06,6.44,6.48,-0.03,39.7%,39.9%,-0.2%
controversy_handling,0.209,0.212,-0.003,0.054,0.057,-0.003,0.148,0.152,-0.004,0.764,0.767,-0.003,6.54,6.54,-0.01,6.45,6.48,-0.03,40.3%,39.7%,0.6%
adaptability_signs,0.214,0.210,0.004,0.057,0.056,0.002,0.153,0.150,0.003,0.766,0.766,-0.000,6.45,6.57,-0.11,6.34,6.51,-0.16,38.9%,40.1%,-1.3%
authenticity_markers,0.213,0.210,0.003,0.058,0.056,0.002,0.152,0.150,0.002,0.768,0.766,0.002,6.71,6.49,0.22,6.48,6.46,0.02,41.5%,39.4%,2.2%
message_effectiveness,0.214,0.210,0.004,0.058,0.055,0.003,0.154,0.150,0.004,0.767,0.766,0.001,6.55,6.54,0.02,6.49,6.46,0.02,40.3%,39.7%,0.6%
punctuation_style,0.219,0.208,0.011,0.060,0.055,0.005,0.157,0.149,0.008,0.771,0.765,0.006,6.65,6.51,0.14,6.95,6.33,0.62,43.6%,38.7%,4.9%
reaction_patterns,0.207,0.212,-0.005,0.054,0.057,-0.003,0.148,0.152,-0.003,0.765,0.767,-0.001,6.57,6.53,0.04,6.46,6.47,-0.01,41.5%,39.3%,2.2%
belief_expression,0.209,0.212,-0.003,0.054,0.057,-0.002,0.147,0.152,-0.004,0.765,0.767,-0.002,6.50,6.55,-0.06,6.30,6.52,-0.22,37.3%,40.6%,-3.4%
narrative_voice,0.208,0.212,-0.004,0.056,0.056,-0.001,0.147,0.152,-0.004,0.767,0.766,0.001,6.61,6.52,0.09,6.59,6.43,0.16,42.3%,39.1%,3.1%
social_orientation,0.212,0.211,0.001,0.057,0.056,0.002,0.152,0.151,0.001,0.769,0.766,0.003,6.50,6.55,-0.06,6.39,6.49,-0.10,38.9%,40.1%,-1.3%
general_decription,0.213,0.210,0.003,0.059,0.055,0.004,0.154,0.150,0.004,0.767,0.766,0.001,6.63,6.51,0.11,6.52,6.46,0.06,42.4%,39.1%,3.4%
community_role,0.206,0.212,-0.006,0.056,0.056,-0.000,0.148,0.152,-0.004,0.763,0.767,-0.005,6.50,6.55,-0.05,6.39,6.49,-0.11,38.2%,40.3%,-2.1%
opinion_expression,0.210,0.211,-0.001,0.054,0.057,-0.002,0.150,0.151,-0.002,0.765,0.767,-0.001,6.54,6.54,0.00,6.46,6.47,-0.01,40.1%,39.8%,0.3%
