Dimension,Rouge1 (Diff),Rouge2 (Diff),Rougel (Diff),Similarity Scores (Diff),Authenticity (Diff),Style Consistency (Diff),Matching Intent (Diff)
stress_indicators,-0.002,-0.002,-0.002,-0.000,-0.12,-0.16,-2.4%
conflict_approach,-0.002,-0.001,-0.002,-0.002,0.01,-0.05,-1.8%
brevity_style,0.009,0.004,0.014,0.002,-0.16,-0.05,-2.9%
language_formality,0.004,0.001,0.003,0.006,0.00,0.28,3.3%
vocabulary_range,-0.003,-0.000,-0.004,-0.002,-0.03,0.16,-0.7%
identity_projection,-0.003,-0.002,-0.002,-0.004,0.04,-0.05,0.1%
content_triggers,0.002,0.001,0.002,-0.000,-0.10,-0.19,-2.5%
value_signals,-0.006,-0.002,-0.005,-0.001,-0.02,-0.15,-2.3%
emotional_expression,0.000,-0.003,-0.002,0.001,0.09,0.01,-0.3%
cognitive_patterns,-0.002,-0.002,-0.003,0.000,-0.06,-0.03,-0.2%
controversy_handling,-0.003,-0.003,-0.004,-0.003,-0.01,-0.03,0.6%
adaptability_signs,0.004,0.002,0.003,-0.000,-0.11,-0.16,-1.3%
authenticity_markers,0.003,0.002,0.002,0.002,0.22,0.02,2.2%
message_effectiveness,0.004,0.003,0.004,0.001,0.02,0.02,0.6%
punctuation_style,0.011,0.005,0.008,0.006,0.14,0.62,4.9%
reaction_patterns,-0.005,-0.003,-0.003,-0.001,0.04,-0.01,2.2%
belief_expression,-0.003,-0.002,-0.004,-0.002,-0.06,-0.22,-3.4%
narrative_voice,-0.004,-0.001,-0.004,0.001,0.09,0.16,3.1%
social_orientation,0.001,0.002,0.001,0.003,-0.06,-0.10,-1.3%
general_decription,0.003,0.004,0.004,0.001,0.11,0.06,3.4%
community_role,-0.006,-0.000,-0.004,-0.005,-0.05,-0.11,-2.1%
opinion_expression,-0.001,-0.002,-0.002,-0.001,0.00,-0.01,0.3%
