combination,frequency,percentage
community_role|conflict_approach|emotional_expression|narrative_voice|opinion_expression,6,0.08
adaptability_signs|cognitive_patterns|content_triggers|social_orientation|vocabulary_range,6,0.08
content_triggers|controversy_handling|emotional_expression|reaction_patterns|value_signals,6,0.08
adaptability_signs|cognitive_patterns|content_triggers|emotional_expression|vocabulary_range,6,0.08
adaptability_signs|content_triggers|message_effectiveness|punctuation_style|value_signals,6,0.08
adaptability_signs|community_role|narrative_voice|opinion_expression|value_signals,6,0.08
belief_expression|conflict_approach|opinion_expression|social_orientation|vocabulary_range,6,0.08
community_role|content_triggers|controversy_handling|emotional_expression|message_effectiveness,6,0.08
brevity_style|content_triggers|general_decription|narrative_voice|social_orientation,6,0.08
brevity_style|cognitive_patterns|identity_projection|reaction_patterns|vocabulary_range,6,0.08
content_triggers|emotional_expression|identity_projection|reaction_patterns|value_signals,6,0.08
cognitive_patterns|emotional_expression|language_formality|message_effectiveness|vocabulary_range,6,0.08
adaptability_signs|community_role|content_triggers|controversy_handling|reaction_patterns,6,0.08
authenticity_markers|belief_expression|conflict_approach|content_triggers|emotional_expression,6,0.08
authenticity_markers|belief_expression|emotional_expression|punctuation_style|vocabulary_range,6,0.08
belief_expression|cognitive_patterns|general_decription|punctuation_style|stress_indicators,4,0.05
cognitive_patterns|general_decription|punctuation_style|reaction_patterns|value_signals,4,0.05
conflict_approach|controversy_handling|message_effectiveness|value_signals|vocabulary_range,4,0.05
emotional_expression|general_decription|identity_projection|social_orientation|stress_indicators,4,0.05
community_role|conflict_approach|controversy_handling|language_formality|punctuation_style,4,0.05
cognitive_patterns|community_role|content_triggers|controversy_handling|punctuation_style,4,0.05
belief_expression|brevity_style|community_role|punctuation_style|vocabulary_range,4,0.05
belief_expression|community_role|content_triggers|language_formality|stress_indicators,4,0.05
conflict_approach|content_triggers|general_decription|narrative_voice|punctuation_style,4,0.05
belief_expression|community_role|conflict_approach|emotional_expression|general_decription,4,0.05
belief_expression|content_triggers|identity_projection|opinion_expression|value_signals,4,0.05
belief_expression|controversy_handling|punctuation_style|social_orientation|value_signals,4,0.05
belief_expression|conflict_approach|opinion_expression|reaction_patterns|stress_indicators,4,0.05
community_role|conflict_approach|general_decription|opinion_expression|stress_indicators,4,0.05
belief_expression|brevity_style|cognitive_patterns|message_effectiveness|social_orientation,4,0.05
community_role|conflict_approach|general_decription|reaction_patterns|stress_indicators,4,0.05
community_role|content_triggers|message_effectiveness|social_orientation|vocabulary_range,4,0.05
authenticity_markers|belief_expression|emotional_expression|message_effectiveness|narrative_voice,4,0.05
brevity_style|controversy_handling|message_effectiveness|stress_indicators|value_signals,4,0.05
controversy_handling|message_effectiveness|narrative_voice|reaction_patterns|stress_indicators,4,0.05
brevity_style|identity_projection|language_formality|reaction_patterns|social_orientation,4,0.05
adaptability_signs|belief_expression|conflict_approach|controversy_handling|message_effectiveness,4,0.05
cognitive_patterns|controversy_handling|opinion_expression|punctuation_style|value_signals,4,0.05
adaptability_signs|community_role|language_formality|message_effectiveness|reaction_patterns,4,0.05
community_role|general_decription|identity_projection|value_signals|vocabulary_range,4,0.05
cognitive_patterns|emotional_expression|opinion_expression|social_orientation|vocabulary_range,4,0.05
brevity_style|community_role|conflict_approach|punctuation_style|stress_indicators,4,0.05
adaptability_signs|conflict_approach|content_triggers|emotional_expression|narrative_voice,4,0.05
brevity_style|community_role|opinion_expression|social_orientation|vocabulary_range,4,0.05
belief_expression|brevity_style|identity_projection|language_formality|social_orientation,4,0.05
belief_expression|brevity_style|reaction_patterns|value_signals|vocabulary_range,4,0.05
content_triggers|emotional_expression|language_formality|message_effectiveness|narrative_voice,4,0.05
conflict_approach|emotional_expression|general_decription|punctuation_style|vocabulary_range,4,0.05
authenticity_markers|community_role|content_triggers|punctuation_style|value_signals,4,0.05
adaptability_signs|conflict_approach|controversy_handling|emotional_expression|identity_projection,4,0.05
brevity_style|cognitive_patterns|content_triggers|general_decription|vocabulary_range,4,0.05
community_role|conflict_approach|content_triggers|opinion_expression|social_orientation,4,0.05
conflict_approach|controversy_handling|general_decription|language_formality|opinion_expression,4,0.05
brevity_style|message_effectiveness|narrative_voice|social_orientation|stress_indicators,4,0.05
authenticity_markers|belief_expression|community_role|content_triggers|general_decription,4,0.05
cognitive_patterns|general_decription|punctuation_style|stress_indicators|vocabulary_range,4,0.05
adaptability_signs|belief_expression|reaction_patterns|stress_indicators|value_signals,4,0.05
adaptability_signs|authenticity_markers|cognitive_patterns|controversy_handling|identity_projection,4,0.05
cognitive_patterns|community_role|language_formality|opinion_expression|vocabulary_range,4,0.05
emotional_expression|general_decription|narrative_voice|punctuation_style|stress_indicators,4,0.05
adaptability_signs|content_triggers|general_decription|language_formality|punctuation_style,4,0.05
brevity_style|content_triggers|opinion_expression|value_signals|vocabulary_range,4,0.05
belief_expression|brevity_style|conflict_approach|reaction_patterns|social_orientation,4,0.05
adaptability_signs|conflict_approach|identity_projection|reaction_patterns|social_orientation,4,0.05
belief_expression|identity_projection|message_effectiveness|narrative_voice|opinion_expression,4,0.05
belief_expression|content_triggers|message_effectiveness|reaction_patterns|social_orientation,4,0.05
belief_expression|brevity_style|identity_projection|opinion_expression|punctuation_style,4,0.05
belief_expression|controversy_handling|identity_projection|social_orientation|value_signals,4,0.05
content_triggers|language_formality|narrative_voice|punctuation_style|value_signals,4,0.05
conflict_approach|emotional_expression|identity_projection|message_effectiveness|social_orientation,4,0.05
belief_expression|general_decription|punctuation_style|social_orientation|vocabulary_range,4,0.05
brevity_style|general_decription|identity_projection|social_orientation|stress_indicators,4,0.05
adaptability_signs|community_role|conflict_approach|general_decription|stress_indicators,4,0.05
belief_expression|identity_projection|social_orientation|stress_indicators|vocabulary_range,4,0.05
belief_expression|brevity_style|identity_projection|opinion_expression|stress_indicators,4,0.05
adaptability_signs|belief_expression|brevity_style|message_effectiveness|opinion_expression,4,0.05
brevity_style|cognitive_patterns|controversy_handling|identity_projection|punctuation_style,4,0.05
adaptability_signs|authenticity_markers|cognitive_patterns|language_formality|message_effectiveness,4,0.05
belief_expression|brevity_style|language_formality|narrative_voice|value_signals,4,0.05
community_role|emotional_expression|general_decription|narrative_voice|vocabulary_range,4,0.05
authenticity_markers|belief_expression|cognitive_patterns|community_role|opinion_expression,4,0.05
adaptability_signs|authenticity_markers|emotional_expression|message_effectiveness|social_orientation,4,0.05
community_role|general_decription|message_effectiveness|narrative_voice|reaction_patterns,4,0.05
belief_expression|language_formality|opinion_expression|punctuation_style|reaction_patterns,4,0.05
controversy_handling|identity_projection|message_effectiveness|reaction_patterns|social_orientation,4,0.05
authenticity_markers|community_role|message_effectiveness|narrative_voice|opinion_expression,4,0.05
content_triggers|controversy_handling|social_orientation|stress_indicators|value_signals,4,0.05
adaptability_signs|authenticity_markers|reaction_patterns|value_signals|vocabulary_range,4,0.05
controversy_handling|general_decription|identity_projection|punctuation_style|reaction_patterns,4,0.05
authenticity_markers|emotional_expression|general_decription|stress_indicators|value_signals,4,0.05
authenticity_markers|belief_expression|emotional_expression|language_formality|vocabulary_range,4,0.05
adaptability_signs|cognitive_patterns|content_triggers|social_orientation|stress_indicators,4,0.05
authenticity_markers|message_effectiveness|punctuation_style|stress_indicators|vocabulary_range,4,0.05
conflict_approach|language_formality|narrative_voice|social_orientation|vocabulary_range,4,0.05
cognitive_patterns|community_role|general_decription|language_formality|punctuation_style,4,0.05
brevity_style|identity_projection|narrative_voice|punctuation_style|reaction_patterns,4,0.05
belief_expression|content_triggers|emotional_expression|identity_projection|narrative_voice,4,0.05
authenticity_markers|brevity_style|content_triggers|identity_projection|stress_indicators,4,0.05
authenticity_markers|controversy_handling|general_decription|identity_projection|vocabulary_range,4,0.05
conflict_approach|language_formality|message_effectiveness|reaction_patterns|vocabulary_range,4,0.05
adaptability_signs|belief_expression|brevity_style|content_triggers|stress_indicators,4,0.05
authenticity_markers|cognitive_patterns|conflict_approach|narrative_voice|punctuation_style,4,0.05
belief_expression|cognitive_patterns|general_decription|identity_projection|vocabulary_range,4,0.05
authenticity_markers|belief_expression|conflict_approach|social_orientation|value_signals,4,0.05
adaptability_signs|cognitive_patterns|emotional_expression|punctuation_style|reaction_patterns,4,0.05
belief_expression|general_decription|message_effectiveness|narrative_voice|opinion_expression,4,0.05
controversy_handling|general_decription|language_formality|opinion_expression|value_signals,4,0.05
cognitive_patterns|community_role|narrative_voice|reaction_patterns|value_signals,4,0.05
content_triggers|emotional_expression|message_effectiveness|social_orientation|stress_indicators,4,0.05
controversy_handling|emotional_expression|general_decription|opinion_expression|social_orientation,4,0.05
belief_expression|community_role|controversy_handling|general_decription|reaction_patterns,4,0.05
authenticity_markers|conflict_approach|content_triggers|identity_projection|punctuation_style,4,0.05
adaptability_signs|belief_expression|cognitive_patterns|general_decription|social_orientation,4,0.05
authenticity_markers|brevity_style|emotional_expression|narrative_voice|opinion_expression,4,0.05
content_triggers|general_decription|social_orientation|stress_indicators|value_signals,4,0.05
belief_expression|community_role|content_triggers|reaction_patterns|value_signals,4,0.05
adaptability_signs|emotional_expression|narrative_voice|social_orientation|value_signals,4,0.05
community_role|conflict_approach|language_formality|reaction_patterns|stress_indicators,4,0.05
conflict_approach|emotional_expression|general_decription|reaction_patterns|social_orientation,4,0.05
content_triggers|controversy_handling|identity_projection|opinion_expression|value_signals,4,0.05
belief_expression|brevity_style|controversy_handling|narrative_voice|opinion_expression,4,0.05
belief_expression|community_role|content_triggers|general_decription|message_effectiveness,4,0.05
adaptability_signs|authenticity_markers|community_role|language_formality|narrative_voice,4,0.05
content_triggers|controversy_handling|identity_projection|value_signals|vocabulary_range,4,0.05
belief_expression|emotional_expression|general_decription|message_effectiveness|vocabulary_range,4,0.05
belief_expression|brevity_style|content_triggers|emotional_expression|opinion_expression,4,0.05
identity_projection|language_formality|social_orientation|value_signals|vocabulary_range,4,0.05
community_role|content_triggers|identity_projection|social_orientation|value_signals,4,0.05
authenticity_markers|conflict_approach|controversy_handling|message_effectiveness|reaction_patterns,4,0.05
conflict_approach|general_decription|identity_projection|language_formality|social_orientation,4,0.05
belief_expression|cognitive_patterns|language_formality|punctuation_style|vocabulary_range,4,0.05
cognitive_patterns|community_role|controversy_handling|emotional_expression|vocabulary_range,4,0.05
brevity_style|cognitive_patterns|general_decription|language_formality|narrative_voice,4,0.05
content_triggers|emotional_expression|language_formality|opinion_expression|social_orientation,4,0.05
controversy_handling|general_decription|language_formality|message_effectiveness|narrative_voice,4,0.05
authenticity_markers|community_role|conflict_approach|message_effectiveness|value_signals,4,0.05
cognitive_patterns|identity_projection|message_effectiveness|narrative_voice|reaction_patterns,4,0.05
adaptability_signs|general_decription|language_formality|reaction_patterns|value_signals,4,0.05
controversy_handling|general_decription|identity_projection|opinion_expression|value_signals,4,0.05
belief_expression|community_role|message_effectiveness|narrative_voice|stress_indicators,4,0.05
conflict_approach|controversy_handling|general_decription|message_effectiveness|stress_indicators,4,0.05
belief_expression|cognitive_patterns|conflict_approach|emotional_expression|identity_projection,4,0.05
adaptability_signs|language_formality|message_effectiveness|punctuation_style|stress_indicators,4,0.05
adaptability_signs|community_role|content_triggers|value_signals|vocabulary_range,4,0.05
community_role|emotional_expression|punctuation_style|social_orientation|stress_indicators,4,0.05
controversy_handling|identity_projection|opinion_expression|social_orientation|value_signals,4,0.05
cognitive_patterns|conflict_approach|general_decription|message_effectiveness|punctuation_style,4,0.05
content_triggers|controversy_handling|identity_projection|punctuation_style|value_signals,4,0.05
adaptability_signs|community_role|conflict_approach|reaction_patterns|social_orientation,4,0.05
adaptability_signs|brevity_style|identity_projection|reaction_patterns|stress_indicators,4,0.05
brevity_style|conflict_approach|content_triggers|general_decription|stress_indicators,4,0.05
adaptability_signs|community_role|emotional_expression|language_formality|punctuation_style,4,0.05
adaptability_signs|conflict_approach|identity_projection|message_effectiveness|social_orientation,4,0.05
adaptability_signs|content_triggers|language_formality|reaction_patterns|vocabulary_range,4,0.05
belief_expression|brevity_style|content_triggers|narrative_voice|social_orientation,4,0.05
belief_expression|content_triggers|identity_projection|message_effectiveness|punctuation_style,4,0.05
belief_expression|general_decription|language_formality|reaction_patterns|value_signals,4,0.05
brevity_style|cognitive_patterns|narrative_voice|value_signals|vocabulary_range,4,0.05
adaptability_signs|belief_expression|brevity_style|conflict_approach|opinion_expression,4,0.05
authenticity_markers|cognitive_patterns|community_role|controversy_handling|punctuation_style,4,0.05
belief_expression|content_triggers|emotional_expression|reaction_patterns|social_orientation,4,0.05
authenticity_markers|cognitive_patterns|language_formality|narrative_voice|reaction_patterns,4,0.05
cognitive_patterns|content_triggers|general_decription|narrative_voice|vocabulary_range,4,0.05
adaptability_signs|belief_expression|cognitive_patterns|punctuation_style|value_signals,4,0.05
brevity_style|general_decription|opinion_expression|reaction_patterns|stress_indicators,4,0.05
belief_expression|brevity_style|community_role|general_decription|language_formality,4,0.05
adaptability_signs|cognitive_patterns|emotional_expression|narrative_voice|punctuation_style,4,0.05
belief_expression|cognitive_patterns|community_role|controversy_handling|reaction_patterns,4,0.05
authenticity_markers|narrative_voice|opinion_expression|stress_indicators|value_signals,4,0.05
authenticity_markers|content_triggers|emotional_expression|opinion_expression|reaction_patterns,4,0.05
authenticity_markers|community_role|language_formality|opinion_expression|stress_indicators,4,0.05
belief_expression|emotional_expression|general_decription|identity_projection|opinion_expression,4,0.05
adaptability_signs|authenticity_markers|controversy_handling|message_effectiveness|social_orientation,4,0.05
community_role|content_triggers|language_formality|social_orientation|value_signals,4,0.05
authenticity_markers|cognitive_patterns|opinion_expression|punctuation_style|vocabulary_range,4,0.05
authenticity_markers|belief_expression|narrative_voice|value_signals|vocabulary_range,4,0.05
authenticity_markers|belief_expression|identity_projection|message_effectiveness|vocabulary_range,4,0.05
emotional_expression|social_orientation|stress_indicators|value_signals|vocabulary_range,4,0.05
cognitive_patterns|content_triggers|controversy_handling|language_formality|opinion_expression,4,0.05
brevity_style|cognitive_patterns|community_role|emotional_expression|narrative_voice,4,0.05
conflict_approach|general_decription|narrative_voice|opinion_expression|social_orientation,4,0.05
authenticity_markers|conflict_approach|general_decription|identity_projection|narrative_voice,4,0.05
