combination_id,similarity_scores_mean,similarity_scores_std,similarity_scores_count,similarity_scores_relative,rouge1_fmeasure_mean,rouge1_fmeasure_std,rouge1_fmeasure_count,rouge1_fmeasure_relative,rouge1_recall_mean,rouge1_recall_std,rouge1_recall_count,rouge1_recall_relative,rouge1_precision_mean,rouge1_precision_std,rouge1_precision_count,rouge1_precision_relative,rouge2_fmeasure_mean,rouge2_fmeasure_std,rouge2_fmeasure_count,rouge2_fmeasure_relative,rouge2_recall_mean,rouge2_recall_std,rouge2_recall_count,rouge2_recall_relative,rouge2_precision_mean,rouge2_precision_std,rouge2_precision_count,rouge2_precision_relative,rougel_fmeasure_mean,rougel_fmeasure_std,rougel_fmeasure_count,rougel_fmeasure_relative,rougel_recall_mean,rougel_recall_std,rougel_recall_count,rougel_recall_relative,rougel_precision_mean,rougel_precision_std,rougel_precision_count,rougel_precision_relative,rouge_avg_impact
adaptability_signs|authenticity_markers|belief_expression|brevity_style|conflict_approach,0.7268,0.0442,2,-0.0395,0.1488,0.0926,2,-0.0622,0.3297,0.1399,2,-0.0139,0.1231,0.1088,2,-0.0463,0.0143,0.0202,2,-0.0418,0.0833,0.1179,2,-0.0112,0.0078,0.011,2,-0.0367,0.1012,0.0253,2,-0.0496,0.2784,0.2124,2,0.0275,0.0786,0.0459,2,-0.0417,-0.051199999999999996
adaptability_signs|authenticity_markers|belief_expression|brevity_style|identity_projection,0.8283,0.0048,2,0.062,0.2657,0.1045,2,0.0547,0.55,0.0707,2,0.2064,0.1777,0.0836,2,0.0083,0.1262,0.0988,2,0.0701,0.2555,0.1438,2,0.161,0.0848,0.0712,2,0.0403,0.2246,0.1627,2,0.0738,0.4429,0.2222,2,0.192,0.1523,0.1195,2,0.032,0.0662
adaptability_signs|authenticity_markers|belief_expression|cognitive_patterns|content_triggers,0.7271,0.1186,2,-0.0392,0.1788,0.1243,2,-0.0322,0.5,0.4243,2,0.1564,0.1094,0.0715,2,-0.06,0.0846,0.0754,2,0.0285,0.2579,0.2638,2,0.1634,0.0508,0.0436,2,0.0063,0.1455,0.0771,2,-0.0053,0.4,0.2828,2,0.1491,0.0894,0.0433,2,-0.0309,-0.002999999999999999
adaptability_signs|authenticity_markers|belief_expression|community_role|content_triggers,0.7331,0.0001,2,-0.0332,0.2466,0.0014,2,0.0356,0.3428,0.0723,2,-0.0008,0.1963,0.0223,2,0.0269,0.0365,0.0242,2,-0.0196,0.0475,0.023,2,-0.047,0.0301,0.0227,2,-0.0144,0.1471,0.0344,2,-0.0037,0.2093,0.0897,2,-0.0416,0.1155,0.0134,2,-0.0048,0.0041
adaptability_signs|authenticity_markers|belief_expression|community_role|opinion_expression,0.7654,0.0363,2,-0.0009,0.1643,0.0328,2,-0.0467,0.3344,0.0263,2,-0.0092,0.1108,0.0319,2,-0.0586,0.0161,0.0228,2,-0.04,0.0278,0.0393,2,-0.0667,0.0114,0.0161,2,-0.0331,0.1134,0.0606,2,-0.0374,0.2198,0.0613,2,-0.0311,0.0776,0.0474,2,-0.0427,-0.04136666666666667
adaptability_signs|authenticity_markers|belief_expression|community_role|stress_indicators,0.8459,0.0019,2,0.0796,0.332,0.1454,2,0.121,0.4893,0.0937,2,0.1457,0.2571,0.1414,2,0.0877,0.0879,0.0642,2,0.0318,0.1257,0.0646,2,0.0312,0.069,0.0566,2,0.0245,0.1929,0.0961,2,0.0421,0.2821,0.0725,2,0.0312,0.15,0.0909,2,0.0297,0.06496666666666666
adaptability_signs|authenticity_markers|belief_expression|conflict_approach|reaction_patterns,0.7666,0.0331,2,0.0003,0.2573,0.0647,2,0.0463,0.3083,0.1532,2,-0.0353,0.2313,0.0096,2,0.0619,0.0509,0.0165,2,-0.0052,0.062,0.0353,2,-0.0325,0.0452,0.005,2,0.0007,0.1638,0.0684,2,0.013,0.2004,0.1291,2,-0.0505,0.1446,0.0313,2,0.0243,0.018033333333333332
adaptability_signs|authenticity_markers|belief_expression|conflict_approach|vocabulary_range,0.8226,0.0819,2,0.0563,0.1714,0.1152,2,-0.0396,0.3833,0.0236,2,0.0397,0.1218,0.1007,2,-0.0476,0.0118,0.0166,2,-0.0443,0.0172,0.0244,2,-0.0773,0.0089,0.0126,2,-0.0356,0.1142,0.0661,2,-0.0366,0.2667,0.0471,2,0.0158,0.0804,0.06,2,-0.0399,-0.04016666666666666
adaptability_signs|authenticity_markers|belief_expression|content_triggers|vocabulary_range,0.8344,0.0406,2,0.0681,0.3255,0.0881,2,0.1145,0.3732,0.0564,2,0.0296,0.2914,0.1046,2,0.122,0.1208,0.0944,2,0.0647,0.1345,0.0927,2,0.04,0.1105,0.0934,2,0.066,0.235,0.0718,2,0.0842,0.2688,0.0502,2,0.0179,0.2107,0.0828,2,0.0904,0.08779999999999999
adaptability_signs|authenticity_markers|belief_expression|controversy_handling|general_decription,0.7538,0.1186,2,-0.0125,0.1335,0.1401,2,-0.0775,0.4346,0.4732,2,0.091,0.0789,0.0821,2,-0.0905,0.0357,0.0505,2,-0.0204,0.125,0.1768,2,0.0305,0.0208,0.0295,2,-0.0237,0.0986,0.0907,2,-0.0522,0.3192,0.31,2,0.0683,0.0584,0.0531,2,-0.0619,-0.05003333333333334
adaptability_signs|authenticity_markers|belief_expression|general_decription|identity_projection,0.642,0.0448,2,-0.1243,0.1414,0.0783,2,-0.0696,0.4667,0.1886,2,0.1231,0.0835,0.0483,2,-0.0859,0.0339,0.0479,2,-0.0222,0.1111,0.1571,2,0.0166,0.02,0.0283,2,-0.0245,0.1142,0.0703,2,-0.0366,0.375,0.1768,2,0.1241,0.0675,0.0431,2,-0.0528,-0.0428
adaptability_signs|authenticity_markers|belief_expression|general_decription|narrative_voice,0.8242,0.0338,2,0.0579,0.2434,0.0143,2,0.0324,0.4313,0.06,2,0.0877,0.1699,0.0045,2,0.0005,0.0462,0.0166,2,-0.0099,0.085,0.037,2,-0.0095,0.0318,0.0105,2,-0.0127,0.1371,0.0053,2,-0.0137,0.2427,0.0289,2,-0.0082,0.0957,0.0006,2,-0.0246,0.002933333333333333
adaptability_signs|authenticity_markers|belief_expression|general_decription|opinion_expression,0.8362,0.0236,2,0.0699,0.6667,0.0,2,0.4557,1.0,0.0,2,0.6564,0.5,0.0,2,0.3306,0.6316,0.0,2,0.5755,1.0,0.0,2,0.9055,0.4615,0.0,2,0.417,0.6667,0.0,2,0.5159,1.0,0.0,2,0.7491,0.5,0.0,2,0.3797,0.5157
adaptability_signs|authenticity_markers|belief_expression|identity_projection|message_effectiveness,0.6141,0.0075,2,-0.1522,0.0488,0.0332,2,-0.1622,0.1652,0.0492,2,-0.1784,0.0318,0.0258,2,-0.1376,0.0,0.0,2,-0.0561,0.0,0.0,2,-0.0945,0.0,0.0,2,-0.0445,0.0368,0.0162,2,-0.114,0.1435,0.0799,2,-0.1074,0.0234,0.014,2,-0.0969,-0.11076666666666667
adaptability_signs|authenticity_markers|belief_expression|identity_projection|punctuation_style,0.7602,0.0319,2,-0.0061,0.1813,0.0104,2,-0.0297,0.2304,0.043,2,-0.1132,0.1545,0.034,2,-0.0149,0.0345,0.0066,2,-0.0216,0.0436,0.0027,2,-0.0509,0.0296,0.0105,2,-0.0149,0.1479,0.0043,2,-0.0029,0.1887,0.0406,2,-0.0622,0.1258,0.0242,2,0.0055,-0.018066666666666665
adaptability_signs|authenticity_markers|belief_expression|identity_projection|reaction_patterns,0.7992,0.0452,2,0.0329,0.2417,0.059,2,0.0307,0.3061,0.0662,2,-0.0375,0.1998,0.0524,2,0.0304,0.0465,0.0248,2,-0.0096,0.0589,0.0299,2,-0.0356,0.0384,0.0211,2,-0.0061,0.1588,0.0427,2,0.008,0.201,0.0485,2,-0.0499,0.1313,0.0376,2,0.011,0.0097
adaptability_signs|authenticity_markers|belief_expression|narrative_voice|vocabulary_range,0.713,0.0196,2,-0.0533,0.195,0.0333,2,-0.016,0.3211,0.0298,2,-0.0225,0.1402,0.0286,2,-0.0292,0.0353,0.0225,2,-0.0208,0.0578,0.0329,2,-0.0367,0.0255,0.017,2,-0.019,0.1244,0.0143,2,-0.0264,0.2053,0.0074,2,-0.0456,0.0894,0.0133,2,-0.0309,-0.021066666666666668
adaptability_signs|authenticity_markers|belief_expression|opinion_expression|punctuation_style,0.7536,0.0694,2,-0.0127,0.1811,0.0439,2,-0.0299,0.4864,0.3021,2,0.1428,0.1142,0.0152,2,-0.0552,0.0156,0.0221,2,-0.0405,0.0556,0.0786,2,-0.0389,0.0091,0.0129,2,-0.0354,0.1258,0.0364,2,-0.025,0.3409,0.225,2,0.09,0.0791,0.0144,2,-0.0412,-0.0318
adaptability_signs|authenticity_markers|belief_expression|opinion_expression|social_orientation,0.7321,0.0998,2,-0.0342,0.1293,0.039,2,-0.0817,0.625,0.5303,2,0.2814,0.0745,0.015,2,-0.0949,0.0584,0.0329,2,0.0023,0.3788,0.4071,2,0.2843,0.0326,0.0154,2,-0.0119,0.1293,0.039,2,-0.0215,0.625,0.5303,2,0.3741,0.0745,0.015,2,-0.0458,-0.03363333333333333
adaptability_signs|authenticity_markers|belief_expression|opinion_expression|stress_indicators,0.8406,0.0548,2,0.0743,0.1449,0.0244,2,-0.0661,0.16,0.003,2,-0.1836,0.1347,0.0389,2,-0.0347,0.0417,0.0589,2,-0.0144,0.0417,0.0589,2,-0.0528,0.0417,0.0589,2,-0.0028,0.1236,0.0545,2,-0.0272,0.1337,0.0402,2,-0.1172,0.1168,0.0642,2,-0.0035,-0.0359
adaptability_signs|authenticity_markers|belief_expression|social_orientation|value_signals,0.7291,0.0647,2,-0.0372,0.1149,0.047,2,-0.0961,0.1705,0.1125,2,-0.1731,0.0897,0.0221,2,-0.0797,0.0127,0.0179,2,-0.0434,0.0217,0.0307,2,-0.0728,0.0089,0.0126,2,-0.0356,0.0902,0.0121,2,-0.0606,0.1288,0.0536,2,-0.1221,0.0721,0.0028,2,-0.0482,-0.0667
adaptability_signs|authenticity_markers|brevity_style|cognitive_patterns|general_decription,0.8862,0.0205,2,0.1199,0.2834,0.0647,2,0.0724,0.289,0.0397,2,-0.0546,0.2801,0.0876,2,0.1107,0.0592,0.0265,2,0.0031,0.0597,0.0216,2,-0.0348,0.0591,0.0311,2,0.0146,0.1733,0.0771,2,0.0225,0.175,0.063,2,-0.0759,0.173,0.0903,2,0.0527,0.03266666666666667
adaptability_signs|authenticity_markers|brevity_style|cognitive_patterns|social_orientation,0.7824,0.0119,2,0.0161,0.285,0.0495,2,0.074,0.3472,0.1375,2,0.0036,0.25,0.0,2,0.0806,0.1304,0.1845,2,0.0743,0.1875,0.2652,2,0.093,0.1,0.1414,2,0.0555,0.285,0.0495,2,0.1342,0.3472,0.1375,2,0.0963,0.25,0.0,2,0.1297,0.09416666666666666
