combination_id,similarity_scores_mean,similarity_scores_std,similarity_scores_count,similarity_scores_relative,rouge1_fmeasure_mean,rouge1_fmeasure_std,rouge1_fmeasure_count,rouge1_fmeasure_relative,rouge1_recall_mean,rouge1_recall_std,rouge1_recall_count,rouge1_recall_relative,rouge1_precision_mean,rouge1_precision_std,rouge1_precision_count,rouge1_precision_relative,rouge2_fmeasure_mean,rouge2_fmeasure_std,rouge2_fmeasure_count,rouge2_fmeasure_relative,rouge2_recall_mean,rouge2_recall_std,rouge2_recall_count,rouge2_recall_relative,rouge2_precision_mean,rouge2_precision_std,rouge2_precision_count,rouge2_precision_relative,rougel_fmeasure_mean,rougel_fmeasure_std,rougel_fmeasure_count,rougel_fmeasure_relative,rougel_recall_mean,rougel_recall_std,rougel_recall_count,rougel_recall_relative,rougel_precision_mean,rougel_precision_std,rougel_precision_count,rougel_precision_relative,llm_evaluation_authenticity_mean,llm_evaluation_authenticity_std,llm_evaluation_authenticity_count,llm_evaluation_style_consistency_mean,llm_evaluation_style_consistency_std,llm_evaluation_style_consistency_count,llm_evaluation_matching_intent_mean,llm_evaluation_matching_intent_std,llm_evaluation_matching_intent_count,semantic_scores_avg_impact,rouge_scores_avg_impact,llm_evaluation_avg_impact,rouge_avg_impact
brevity_style|conflict_approach|emotional_expression|opinion_expression|reaction_patterns,0.7951129376888275,0.06801148393768346,20,0.013544119119644149,0.2127034070683956,0.07921233934969278,20,-0.10161375145523813,0.23571428571428563,0.08437409523103416,20,-0.1339358859431575,0.20151515151515156,0.08885233166386385,20,-0.10041247154126973,0.0,0.0,20,-0.12054485353921585,0.0,0.0,20,-0.1396817937028191,0.0,0.0,20,-0.11552308955034223,0.1646484871599288,0.06938062073767198,20,-0.07901765774811184,0.1898809523809524,0.09493018835532117,20,-0.09625988928875559,0.15101010101010104,0.06218698298572449,20,-0.08277333871657264,5.75,2.653200649067184,20,6.75,1.6819474927657678,20,0.75,0.4442616583193193,20,0.013544119119644149,-0.10039208758085527,4.416666666666667,-0.10039208758085527
conflict_approach|language_formality|message_effectiveness|reaction_patterns|vocabulary_range,0.7159913629293442,0.05593737914300178,20,-0.06557745563983919,0.18712686567164177,0.11646193172381493,20,-0.12719029285199196,0.23369565217391308,0.1585968784489338,20,-0.13595451948353005,0.16098484848484845,0.10034963164776854,20,-0.14094277457157284,0.0397435897435897,0.04182338429505468,20,-0.08080126379562615,0.05075757575757571,0.05788864032645672,20,-0.0889242179452434,0.03410852713178293,0.035012681521352576,20,-0.0814145624185593,0.16473880597014928,0.09948127146816774,20,-0.07892733893789136,0.2010869565217391,0.12126932066484901,20,-0.08505388514796888,0.14393939393939395,0.0927837023781507,20,-0.08984404578727972,5.75,2.8446625921465443,20,6.0,2.991215208080594,20,0.75,0.4442616583193193,20,-0.06557745563983919,-0.09563963186183648,4.166666666666667,-0.09563963186183648
brevity_style|cognitive_patterns|community_role|general_decription|social_orientation,0.7769450098276138,0.07043418845033379,20,-0.004623808741569535,0.35854012803627694,0.19772320221733405,20,0.044222969512643207,0.3916666666666667,0.1847631643498909,20,0.02201649500922359,0.33844930213464686,0.19678545497510352,20,0.036521679078225566,0.17655438243673535,0.12104444147102421,20,0.056009528897519506,0.19246911210386702,0.12013013253125476,20,0.05278731840104792,0.16644816154309824,0.11744165847521493,20,0.05092507199275602,0.2932435023256589,0.16529192462436335,20,0.049577357417618234,0.32361111111111107,0.1533879362901471,20,0.03747026944140308,0.2756824712643678,0.1652910068371713,20,0.041899031537694115,5.75,2.8446625921465443,20,6.5,3.2847334266589314,20,0.75,0.4442616583193193,20,-0.004623808741569535,0.04993661860926032,4.333333333333333,0.04993661860926032
cognitive_patterns|language_formality|punctuation_style|reaction_patterns|vocabulary_range,0.8268473595380783,0.039351320523024355,20,0.04527854096889494,0.3505903436643473,0.04434091597004453,20,0.03627318514071359,0.3708730158730159,0.07099688544975238,20,0.0012228442155727826,0.33951617273628143,0.0441384618094499,20,0.03758854967986014,0.14610821072615082,0.03271508590844482,20,0.025563357186934976,0.15486956276763578,0.03967103129900283,20,0.01518776906481667,0.14132415971125642,0.031952087754708695,20,0.025801070160914194,0.27345561880666236,0.03641988956468413,20,0.029789473898621716,0.2852777777777777,0.03094121320284544,20,-0.0008630638919303046,0.2678159451257277,0.051710447132826874,20,0.03403250539905403,6.75,0.4442616583193193,20,7.25,0.8506963092234007,20,1.0,0.0,20,0.04527854096889494,0.03054200540875676,5.0,0.03054200540875676
cognitive_patterns|content_triggers|emotional_expression|identity_projection|reaction_patterns,0.7636443972587585,0.03978892131022003,10,-0.01792442131042482,0.29039463886820543,0.0659298395269655,10,-0.023922519655428298,0.4035087719298245,0.07397140725540066,10,0.033858600272381356,0.2271634615384615,0.057012217430920345,10,-0.07476416151795978,0.1001855287569573,0.023467737737798724,10,-0.020359324782258548,0.1410256410256409,0.02702801418947334,10,0.0013438473228218062,0.07779886148007589,0.02000175623129905,10,-0.03772422807026633,0.1993050384710846,0.0034011425152799496,10,-0.04436110643695604,0.27972709551656916,0.017465471157525163,10,-0.006413746153138833,0.1550480769230769,0.001266938165131587,10,-0.07873536280359678,7.5,0.5270462766947299,10,7.5,0.5270462766947299,10,1.0,0.0,10,-0.01792442131042482,-0.029547650291547628,5.333333333333333,-0.029547650291547628
brevity_style|cognitive_patterns|emotional_expression|language_formality|reaction_patterns,0.785463958978653,0.03846571511077319,10,0.0038951404094695885,0.30405405405405406,0.20654516248847524,10,-0.010263104469579676,0.42407407407407405,0.29085146380561017,10,0.05442390241663092,0.23699763593380613,0.16010743866494748,10,-0.06492998712261516,0.11111111111111112,0.11712139482105108,10,-0.009433742428104727,0.15789473684210525,0.16643566632465154,10,0.018212943139286147,0.0857142857142857,0.09035079029052512,10,-0.029808803836056524,0.27268339768339767,0.20196657514267166,10,0.029017252775357022,0.38055555555555554,0.2840193824410489,10,0.09441471388584755,0.2124704491725768,0.15668101488028913,10,-0.021312990554096883,7.0,1.0540925533894598,10,7.0,0.0,10,1.0,0.0,10,0.0038951404094695885,0.0031068019592242063,5.0,0.0031068019592242063
community_role|content_triggers|language_formality|message_effectiveness|value_signals,0.6662715971469879,0.09517588061052439,10,-0.11529722142219545,0.08602150537634405,0.09067462824855564,10,-0.22829565314728967,0.17391304347826084,0.1833204440677321,10,-0.1957371281791823,0.05714285714285709,0.060233860193683375,10,-0.24478476591356418,0.01098901098901095,0.011583434652631385,10,-0.1095558425502049,0.0227272727272727,0.023956648940669508,10,-0.1169545209755464,0.0072463768115942,0.007638351836155503,10,-0.10827671273874803,0.07526881720430105,0.07934029971748618,10,-0.1683973277037396,0.15217391304347824,0.16040538855926562,10,-0.13396692862622975,0.05,0.052704627669472995,10,-0.18378343972667366,4.0,3.1622776601683795,10,4.5,3.689323936863109,10,0.5,0.5270462766947299,10,-0.11529722142219545,-0.16874960780041137,3.0,-0.16874960780041137
authenticity_markers|controversy_handling|emotional_expression|language_formality|value_signals,0.7759095728397369,0.010979366347258376,10,-0.005659245729446427,0.11611219830397909,0.02200323660043231,10,-0.19820496021965464,0.1833333333333333,0.017568209223157702,10,-0.18631683832410983,0.08541666666666661,0.019764235376052375,10,-0.21651095638975468,0.014084507042253499,0.014846373991400822,10,-0.10646034649696234,0.0208333333333333,0.021960261528947044,10,-0.1188484603694858,0.0106382978723404,0.01121375056797295,10,-0.10488479167800183,0.08336594911937374,0.027641565979293094,10,-0.1603001957886669,0.13000000000000003,0.03162277660168379,10,-0.15614084166970796,0.06166666666666666,0.022838671990104944,10,-0.172116773060007,4.5,3.689323936863109,10,4.0,3.1622776601683795,10,0.5,0.5270462766947299,10,-0.005659245729446427,-0.1549885008350946,3.0,-0.1549885008350946
adaptability_signs|belief_expression|controversy_handling|language_formality|punctuation_style,0.7647416889667511,0.020434788440074417,10,-0.016827129602432267,0.20444444444444443,0.12180625061389319,10,-0.1098727140791893,0.2555555555555556,0.15225781326736643,10,-0.11409461610188754,0.17037037037037028,0.10150520884491095,10,-0.131557252686051,0.0869565217391304,0.09166022203386603,10,-0.03358833180008544,0.11111111111111112,0.11712139482105108,10,-0.028570682591707988,0.0714285714285714,0.07529232524210423,10,-0.04409451812177083,0.1822222222222222,0.1452305295781034,10,-0.06144392268581844,0.22777777777777772,0.18153816197262923,10,-0.05836306389193027,0.1518518518518518,0.12102544131508611,10,-0.08193158787482188,5.0,3.1622776601683795,10,6.5,2.6352313834736494,10,0.5,0.5270462766947299,10,-0.016827129602432267,-0.0683016561883644,4.0,-0.0683016561883644
community_role|language_formality|opinion_expression|reaction_patterns|vocabulary_range,0.8217917084693909,0.024492116060253345,10,0.040222889900207504,0.4814024390243903,0.00674876329913984,10,0.16708528050075655,0.5,0.013514007094736675,10,0.13034982834255687,0.46426545660805446,0.0008968456211481058,10,0.16233783355163317,0.2397435897435897,0.06351583334526231,10,0.11919873620437385,0.24999999999999994,0.06934819430193817,10,0.11031820629718084,0.23035714285714284,0.05835155206263081,10,0.11483405330680062,0.3201219512195122,0.07391502660962676,10,0.07645580631147156,0.33333333333333326,0.08108404256841996,10,0.04719249166362527,0.307997731140102,0.067562370126494,10,0.07421429141342831,7.5,0.5270462766947299,10,8.5,0.5270462766947299,10,1.0,0.0,10,0.040222889900207504,0.1209132743388673,5.666666666666667,0.1209132743388673
adaptability_signs|general_decription|message_effectiveness|social_orientation|value_signals,0.8155938684940338,0.06239733533734427,10,0.03402504992485045,0.3763805220883533,0.11125650569785846,10,0.06206336356471959,0.33540746688077083,0.09499950952867674,10,-0.034242704776672295,0.4289405684754522,0.13346391502863963,10,0.1270129454190309,0.1800630417651694,0.12252060805748254,10,0.05951818822595356,0.15928093645484945,0.10708381708764166,10,0.01959914275203034,0.20714285714285713,0.1430554179599981,10,0.0916197675925149,0.288152610441767,0.12805742867482395,10,0.044486465533726344,0.25632276194299475,0.1110796046827512,10,-0.029818079726713242,0.32913436692506454,0.15082784274920244,10,0.09535092719839086,7.5,0.5270462766947299,10,8.5,0.5270462766947299,10,1.0,0.0,10,0.03402504992485045,0.05535600577479983,5.666666666666667,0.05535600577479983
adaptability_signs|authenticity_markers|brevity_style|controversy_handling|message_effectiveness,0.7883073389530182,0.0004867033937472969,10,0.006738520383834823,0.33086956521739125,0.2011941873643361,10,0.016552406693757515,0.45277777777777783,0.3132997311463117,10,0.08312760612033471,0.26363636363636356,0.1437398936440173,10,-0.03829125942005773,0.14285714285714285,0.15058465048420852,10,0.022312289317927003,0.21428571428571425,0.22587697572631277,10,0.07460392058289514,0.1071428571428571,0.11293848786315636,10,-0.00838023240748513,0.30086956521739133,0.23281696396601986,10,0.05720342030935069,0.4194444444444444,0.34843614959262703,10,0.1333036027747364,0.2363636363636364,0.17248787237282073,10,0.0025801966369627116,5.0,3.1622776601683795,10,6.5,2.6352313834736494,10,0.5,0.5270462766947299,10,0.006738520383834823,0.03202270544034507,4.0,0.03202270544034507
community_role|conflict_approach|content_triggers|controversy_handling|social_orientation,0.7611182332038879,0.007435852753293273,10,-0.020450585365295426,0.15320512820512813,0.10878775711263017,10,-0.1611120303185056,0.1247680890538033,0.08360381569090801,10,-0.24488208260363983,0.20019157088122602,0.1524597467067131,10,-0.10173605217519527,0.0394736842105263,0.04160891658116287,10,-0.08107116932868955,0.03125,0.03294039229342062,10,-0.10843179370281911,0.05357142857142855,0.05646924393157818,10,-0.06195166097891368,0.1147435897435897,0.0682457358284202,10,-0.12892255516445095,0.0941558441558441,0.05133567630143473,10,-0.1919849975138639,0.14846743295019155,0.09793771808312034,10,-0.08531600677648213,6.0,1.0540925533894598,10,7.0,1.0540925533894598,10,1.0,0.0,10,-0.020450585365295426,-0.1237019182705487,4.666666666666667,-0.1237019182705487
belief_expression|emotional_expression|message_effectiveness|narrative_voice|value_signals,0.7653118073940277,0.035513263567628156,10,-0.016257011175155656,0.1550724637681159,0.11763061827679476,10,-0.15924469475551783,0.1833333333333333,0.12297746456210368,10,-0.18631683832410983,0.1361290322580645,0.10948961361013099,10,-0.1657985907983568,0.0,0.0,10,-0.12054485353921585,0.0,0.0,10,-0.1396817937028191,0.0,0.0,10,-0.11552308955034223,0.1328502415458937,0.09420633931258457,10,-0.11081590336214694,0.1583333333333333,0.09662515072736719,10,-0.1278075083363747,0.11612903225806451,0.0884077625423418,10,-0.11765440746860917,7.5,0.5270462766947299,10,7.5,0.5270462766947299,10,1.0,0.0,10,-0.016257011175155656,-0.1302018172189602,5.333333333333333,-0.1302018172189602
