full_text,tweet_id,created_at,screen_name,original_user_id,retweeted_user_ID,collected_at,reply_to_id,reply_to_user,expandedURL
"''I miss you so much, I'll call you tomorrow.''",1.3844779310538015e+18,2021-04-20 12:03:55+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833272,1.373893031074566e+18,254185636.0,[]
"''I love animals, fried chicken is my favorite food.''",1.373893031074566e+18,2021-03-22 07:03:18+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833286,1.3674096597919048e+18,254185636.0,[]
"Thanks a lot buddy , God bless you too '' @jhero_jhero '' #PEACE",2.3102226325058355e+17,2012-08-02 13:42:54+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833927,2.305994474390856e+17,616103193.0,[]
"'' Yes friend @jhero_jhero ... That's fine , I love all kinds of music :) Thanks a lot '' ~ Salute &amp; Peace",2.303305733427856e+17,2012-07-31 15:54:22+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833935,2.3032551416070144e+17,616103193.0,[]
* Greetings @MasterCarrigun Thanks Nice Buddy / Brother '' Isaïah Kuryakin '' for this tweet ( http://t.co/tKNYp50a ) ~ SALUTE &amp; PEACE *,2.267297981211607e+17,2012-07-21 17:26:10+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833952,2.2531366808938496e+17,229255063.0,[]
"Thanks @SoulInspiredExp for your great spirit , I'm very excited! Always Grateful for everything that God has given #Smile ~ Salute &amp; Peace",2.220839441228104e+17,2012-07-08 21:45:13+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833971,2.2079796338190746e+17,499244083.0,[]
"@KingofPopMJ01 That's great , thanks again Natalie , happy to talk to you , I wish you have a beautiful day , God bless you ~ Salute &amp; Peace",2.1006602958865613e+17,2012-06-05 17:50:18+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834028,2.0998299704112333e+17,125500832.0,[]
"@KingofPopMJ01 '' Fine , thanks Natalie ... and How about you Natalie ? I wish you're fine too ~ Thanks &amp; Salute ''",2.097438610718884e+17,2012-06-04 20:30:07+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834048,2.09731566816084e+17,125500832.0,[]
"@SONGLBAYIR '' Thanks Songül for that , and good day to you there ... Anyway , so funny &amp; unique ヅ because have much time difference ^_^",2.0724005563335475e+17,2012-05-28 22:40:54+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834083,2.0723305911065805e+17,426832709.0,[]
"@Folowme_ifolowu '' Thanks a lot ( Follow me&amp; i followu ) ''FF '' Anyway , your name is so long ヅ , but so nice ヅ ~ Salute &amp; Peace",2.072350277240136e+17,2012-05-28 22:20:55+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834089,2.071411255244349e+17,294135093.0,[]
"@SONGLBAYIR Hm...Hm... , that's sweet , and how are you Songül ? are fine too ?",2.072226736490414e+17,2012-05-28 21:31:50+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834095,2.072208403103867e+17,426832709.0,[]
"@SONGLBAYIR '' Thanks Songül , Hello ... how's your day / night ? Is fun ? ヅ",2.0722017213679206e+17,2012-05-28 21:21:53+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834103,2.0721538021157683e+17,426832709.0,[]
"@fantastiicm '' Thanks fantastiicm , I wish you have a great day , may Allah bless you &amp; your beloved family all the time ~ Teşekkürler",2.070906386410496e+17,2012-05-28 12:47:10+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834109,2.0706495507634995e+17,413865443.0,[]
"@LolaMarieMusic '' You're very welcome ✦ Lola Marie ✦ , God bless You ~ Salute &amp; Peace ヅ xx ► http://t.co/20CbeqXB ◄ ♩ ♬ ♪ ♫",2.0234904725476147e+17,2012-05-15 10:45:46+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834138,2.019519259508736e+17,473802483.0,[]
"@capfantastic ^_^ Thank you , Thank you , you too , Feeling happy because of you sis :D Luv ya sis , always success for your videos &amp; blog ~",2.019030121370173e+17,2012-05-14 05:13:23+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834149,2.018989331050824e+17,196916857.0,[]
"@capfantastic '' You're much welcome sis Carolyn , Thanks very much , Happy Tweeting &amp; Happy Beautiful Mother's day to you ~ Best Regards ''",2.018954836507484e+17,2012-05-14 04:43:28+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.834155,2.018927424801341e+17,196916857.0,[]
"@prettyravejonas Ok &lt; Thanks for the chat Pretty , I wish you have a Peaceful day & You're enjoying it , God bless You all the time #REGARDS",1.94516416379093e+17,2012-04-23 20:01:42+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300491,1.9451581374988288e+17,282124395.0,[]
"@prettyravejonas Igualmente mi Amiga , anyway for me is &gt; Amigo &lt; Jajaja #Peace don't be angry ^_^ Saludos desde Indonesia",1.9451486725486592e+17,2012-04-23 19:55:32+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300500,1.945139756297134e+17,282124395.0,[]
"@prettyravejonas And I've knew , when we use '' Te Amo '' and when we use '' Te Quiero '' , cool , isn't it? JaJaJa , Kidding , peace KiSS",1.9451346418886656e+17,2012-04-23 19:49:58+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300507,1.945116059486208e+17,282124395.0,[]
@prettyravejonas And the answer is '' bien '' right ? Jajajaja ....,1.945110566122332e+17,2012-04-23 19:40:24+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300514,1.9450991233061683e+17,282124395.0,[]
"@prettyravejonas That's Great Pretty , Felt happy hear you're fine , I'm also fine Thanks , anyways about '' como estas '' I've knew it ....",1.945109291892818e+17,2012-04-23 19:39:54+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300521,1.9450991233061683e+17,282124395.0,[]
"@prettyravejonas '' Thanks Pretty , anyway how are you today ? are fine ? and can you teach me more about Spanish ? hahaha :D '' ~ SALUTE",1.9450956988246426e+17,2012-04-23 19:34:29+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300528,1.9450845628216115e+17,282124395.0,[]
"@prettyravejonas kkkkkk Thanks pretty , I'm just learning Spanish , you know why ? because so many mentions in Spanish & I should reply them",1.9450808907504845e+17,2012-04-23 19:28:36+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300537,1.9450669580275302e+17,282124395.0,[]
"@AndreaCruzSb Ok Andrea , I'll try it , The most important you feel comfortable to communicate , You can use Spanish , I'm glad to hear it .",1.9444732063554355e+17,2012-04-23 15:27:08+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300682,1.9444623501125222e+17,195215242.0,[]
"@AndreaCruzSb Tha's Good Andrea , I'm bien Jaja , It's ok Andrea , if you want to speak in Spanish , I'll try to understand with translator",1.944459576545157e+17,2012-04-23 15:21:43+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300693,1.9444418307804365e+17,195215242.0,[]
"@AndreaCruzSb Jaja , como esta ? , mmm I only know few words in Spanish , not much Jeje ...",1.944429306295214e+17,2012-04-23 15:09:41+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300700,1.9444154867346227e+17,195215242.0,[]
"@AndreaCruzSb '' Muchas Gracias mi amiga Andrea , I wish You have a Wonderful day , God bless You all the time , Abrazos y Besos ~ SALUDOS",1.944413975946281e+17,2012-04-23 15:03:36+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300708,1.9444050342773965e+17,195215242.0,[]
"@SONGLBAYIR ~ Thanks honey for your prayer to INDONESIA , may ALLAH bless us & all in this world , always pray with humility & sincerity ~",1.937750235620352e+17,2012-04-21 18:55:40+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300715,1.9376255174037504e+17,426832709.0,[]
"@okimik_s :-) Thanks very much okimik , we love your dog & we wish you have Peaceful & Amazing days , God bless you always ~ REGARDS & PEACE",1.9200635367234355e+17,2012-04-16 21:47:36+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300722,1.910919173485486e+17,192472243.0,[]
"@SONGLBAYIR Thanks Honey for Shout out , wish you have a great day & I send hugs & kisses to you in Turkey , ALLAH bless you ~ Salam LoveYou",1.9080767987320422e+17,2012-04-13 14:24:30+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300729,1.9055891998113792e+17,426832709.0,[]
"@okimik_s Thanks for the prayer & support, you've made us so strong & full of spirit, We love you, INDONESIA love you ~ Terima Kasih #SALUTE",1.903507851235901e+17,2012-04-12 08:08:58+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300743,,192472243.0,[]
"@jenisseee Precisely , #FRIENDSHIP would be Wonderful if we run with love , peace , respect & regardless of their origin ~Besos de INDONESIA",1.881365743309988e+17,2012-04-06 05:30:29+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300767,1.8760672001983693e+17,356675672.0,[]
"@jenisseee Haha , Thanks Jenisse , You're my best Spanish teacher , You taught me very great & fun , I'm happy to learn it - REGARDS & PEACE",1.8813239739141325e+17,2012-04-06 05:13:53+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300773,1.876058276439122e+17,356675672.0,[]
@jenisseee '' Igualmente Jenisse '' ~ M_u_C_h_A_S + g_R_a_C_i_a_S ~ Abrazos y Besos de Indonesia --= REGARDS & PEACE =--,1.875958628374446e+17,2012-04-04 17:41:53+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300786,1.874201341624402e+17,356675672.0,[]
"@fmusiquita ~ Thanks very much Florencia , also Happy to read you again , Have a Sweet day , Enjoy it with fun & happy always #Hugs #Kisses",1.8759093054983782e+17,2012-04-04 17:22:17+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300793,1.87240899271594e+17,260548841.0,[]
"@silvia_giglione '' Good Morning too dear , Thank you so much Silvia - I wish you have a Wonderful day ~ God bless you all the time #PEACE",1.875139224657019e+17,2012-04-04 12:16:17+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300814,1.8750899917070336e+17,401831848.0,[]
"@LinusDino You're very welcome , Thanks so much my Brothers ( Linus & Dino ) , Keep ROCK'in and always Success , amen , Keep Compact & PEACE",1.874983293562429e+17,2012-04-04 11:14:19+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:01.300834,1.869111208906629e+17,293382654.0,[]
